Date,Open,High,Low,Close,Adj Close,Volume,Mean,Max,Min
2022-05-04,210.6499938964844,224.3000030517578,206.9600067138672,223.41000366210935,223.41000366210935,41375900,0.196,0.6369,-0.296
2022-05-05,218.7400054931641,220.1699981689453,206.16000366210935,208.27999877929688,208.27999877929688,41129200,0.085,0.6369,-0.3415
2022-05-06,207.33999633789065,209.3800048828125,201.0200042724609,203.7700042724609,203.7700042724609,34747200,0.0726,0.7783,-0.128
2022-05-09,199.83999633789065,202.57000732421875,195.5800018310547,196.2100067138672,196.2100067138672,36303200,0.2043,0.8519,-0.1027
2022-05-10,199.50999450683597,202.9600067138672,194.19000244140625,197.6499938964844,197.6499938964844,34452500,-0.0397,0.6908,-0.5106
2022-05-11,196.3300018310547,200.6699981689453,188.2700042724609,188.7400054931641,188.7400054931641,31153400,0.0142,0.7351,-0.5994
2022-05-12,187.05999755859372,198.0500030517578,184.77999877929688,191.2400054931641,191.2400054931641,38262200,-0.1014,0.3612,-0.5994
2022-05-13,192.5800018310547,199.88999938964844,191.27999877929688,198.6199951171875,198.6199951171875,24549800,-0.1033,0.0,-0.5994
2022-05-16,197.0500030517578,205.3699951171875,195.92999267578125,200.0399932861328,200.0399932861328,27112600,-0.134,0.0,-0.4019
2022-05-17,202.1199951171875,205.4600067138672,198.3600006103516,202.6199951171875,202.6199951171875,24872700,-0.1847,0.0772,-0.7269
2022-05-18,200.0,201.0,191.6300048828125,192.2400054931641,192.2400054931641,23960000,0.023,0.6369,-0.5994
2022-05-19,191.1999969482422,195.2899932861328,189.6000061035156,191.2899932861328,191.2899932861328,24446900,0.0928,0.6369,-0.5574
2022-05-20,194.97000122070312,197.91000366210935,187.8699951171875,193.5399932861328,193.5399932861328,31465600,-0.0254,0.5106,-0.4588
2022-05-23,195.19000244140625,196.9900054931641,191.2400054931641,196.22999572753903,196.22999572753903,25059200,-0.034,0.0,-0.34
2022-05-24,180.5500030517578,183.67999267578125,176.11000061035156,181.27999877929688,181.27999877929688,50406300,-0.0238,0.5267,-0.4939
2022-05-25,180.3999938964844,185.4499969482422,179.32000732421875,183.8300018310547,183.8300018310547,28030200,0.0349,0.8225,-0.34
2022-05-26,182.8800048828125,192.8300018310547,182.25999450683597,191.6300048828125,191.6300048828125,23056500,-0.0257,0.5423,-0.6705
2022-05-27,191.3600006103516,195.3300018310547,189.8000030517578,195.1300048828125,195.1300048828125,22562700,-0.1621,0.0,-0.6486
2022-05-31,194.88999938964844,197.6000061035156,192.00999450683597,193.63999938964844,193.63999938964844,26131100,0.1615,0.8126,0.0
2022-06-01,196.50999450683597,199.52999877929688,185.0,188.63999938964844,188.63999938964844,36623500,0.0243,0.6124,-0.3182
2022-06-02,188.4499969482422,200.94000244140625,187.72999572753903,198.8600006103516,198.8600006103516,31951600,-0.0714,0.1027,-0.4767
2022-06-03,195.97999572753903,196.6100006103516,189.77999877929688,190.77999877929688,190.77999877929688,19465000,0.0372,0.5423,-0.6908
2022-06-06,193.9900054931641,196.9199981689453,188.3999938964844,194.25,194.25,30574200,0.3076,0.7579,-0.296
2022-06-07,191.92999267578125,196.52999877929688,191.4900054931641,195.6499938964844,195.6499938964844,18828700,-0.068,0.34,-0.6597
2022-06-08,194.6699981689453,202.02999877929688,194.41000366210935,196.63999938964844,196.63999938964844,22267200,-0.0374,0.3182,-0.5859
2022-06-09,194.27999877929688,199.4499969482422,183.67999267578125,184.0,184.0,23501600,-0.0953,0.6369,-0.4767
2022-06-10,183.0399932861328,183.1000061035156,175.02000427246094,175.57000732421875,175.57000732421875,27450800,-0.0248,0.6369,-0.5859
2022-06-13,170.58999633789062,172.5800018310547,164.02999877929688,164.25999450683594,164.25999450683594,31749300,-0.1013,0.1027,-0.6171
2022-06-14,166.02999877929688,166.75,161.36000061035156,163.72999572753906,163.72999572753906,27244300,0.0314,0.2023,-0.296
2022-06-15,167.1999969482422,172.16000366210938,163.97999572753906,169.35000610351562,169.35000610351562,30008300,0.1006,0.7184,-0.4019
2022-06-16,163.72000122070312,165.0800018310547,159.61000061035156,160.8699951171875,160.8699951171875,26944100,-0.1186,0.6369,-0.7096
2022-06-17,161.67999267578125,165.89999389648438,159.89999389648438,163.74000549316406,163.74000549316406,31374200,0.0,0.0,0.0
2022-06-21,165.92999267578125,167.75999450683594,155.97000122070312,157.0500030517578,157.0500030517578,50724900,-0.0078,0.2023,-0.4588
2022-06-22,158.3800048828125,160.7899932861328,155.44000244140625,155.85000610351562,155.85000610351562,47267800,0.0566,0.5423,-0.25
2022-06-23,156.27000427246094,159.75,154.25,158.75,158.75,40499200,0.0457,0.34,-0.2263
2022-06-24,161.72999572753906,170.25,161.3000030517578,170.16000366210938,170.16000366210938,68736000,0.2358,0.6249,0.0
2022-06-27,171.32000732421875,171.75,168.00999450683594,169.49000549316406,169.49000549316406,29174600,0.1192,0.5574,-0.4019
2022-06-28,169.89999389648438,171.3000030517578,160.61000061035156,160.67999267578125,160.67999267578125,27744500,0.065,0.6369,-0.6124
2022-06-29,163.57000732421875,166.3300018310547,160.32000732421875,163.94000244140625,163.94000244140625,28595200,-0.0103,0.4588,-0.5719
2022-06-30,162.14999389648438,165.22999572753906,158.49000549316406,161.25,161.25,35250600,0.0986,0.3818,-0.1027
2022-07-01,160.30999755859375,160.6199951171875,155.0,160.02999877929688,160.02999877929688,31423900,-0.0535,0.743,-0.6486
2022-07-05,158.13999938964844,168.25,157.02000427246094,168.19000244140625,168.19000244140625,28618600,-0.0098,0.5719,-0.5719
2022-07-06,168.1999969482422,171.58999633789062,165.4600067138672,169.77000427246094,169.77000427246094,23085900,0.0374,0.4215,-0.296
2022-07-07,169.4499969482422,172.72000122070312,167.77999877929688,172.19000244140625,172.19000244140625,24083400,0.0138,0.6369,-0.296
2022-07-08,169.97999572753906,172.39999389648438,168.14999389648438,170.8800048828125,170.8800048828125,19249200,-0.1546,0.4215,-0.5994
2022-07-11,167.07000732421875,167.49000549316406,161.91000366210938,162.8800048828125,162.8800048828125,21885600,-0.0394,0.4588,-0.4767
2022-07-12,164.8000030517578,165.91000366210938,162.10000610351562,163.27000427246094,163.27000427246094,16639700,0.1612,0.7351,-0.5423
2022-07-13,160.16000366210938,164.97999572753906,159.61000061035156,163.49000549316406,163.49000549316406,16555100,-0.2824,0.0,-0.802
2022-07-14,161.22000122070312,162.58999633789062,157.27999877929688,158.0500030517578,158.0500030517578,23765200,0.1684,0.5106,0.0
2022-07-15,160.5399932861328,164.97999572753906,159.82000732421875,164.6999969482422,164.6999969482422,23342800,-0.0669,0.2263,-0.4939
2022-07-18,166.75,171.69000244140625,165.63999938964844,167.22999572753906,167.22999572753906,23574300,-0.1662,0.4019,-0.7579
2022-07-19,170.3699951171875,176.49000549316406,169.50999450683594,175.77999877929688,175.77999877929688,25933700,0.0688,0.6808,-0.4019
2022-07-20,177.49000549316406,183.6000061035156,176.6999969482422,183.08999633789065,183.08999633789065,24784300,-0.1206,0.4019,-0.7003
2022-07-21,180.6300048828125,183.8500061035156,178.8699951171875,183.1699981689453,183.1699981689453,27195800,0.1548,0.8442,-0.4767
2022-07-22,173.07000732421875,175.60000610351562,168.41000366210938,169.27000427246094,169.27000427246094,42583900,0.028,0.4404,-0.3818
2022-07-25,169.0,170.57000732421875,164.80999755859375,166.64999389648438,166.64999389648438,26166300,-0.0753,0.4019,-0.5859
2022-07-26,165.94000244140625,166.0,157.9499969482422,159.14999389648438,159.14999389648438,28468400,-0.1281,0.4754,-0.7351
2022-07-27,162.58999633789062,170.8699951171875,162.02000427246094,169.5800018310547,169.5800018310547,43846600,0.0232,0.3919,-0.4404
2022-07-28,161.05999755859375,161.50999450683594,154.85000610351562,160.72000122070312,160.72000122070312,73214300,-0.0454,0.3612,-0.5994
2022-07-29,157.69000244140625,160.13999938964844,155.1699981689453,159.10000610351562,159.10000610351562,42065400,-0.1393,0.2732,-0.9313
2022-08-01,157.25,165.19000244140625,155.22999572753906,159.92999267578125,159.92999267578125,40596700,-0.0666,0.6597,-0.5994
2022-08-02,158.30999755859375,162.24000549316406,158.00999450683594,160.19000244140625,160.19000244140625,27374500,0.0918,0.5994,-0.296
2022-08-03,162.69000244140625,169.5399932861328,161.57000732421875,168.8000030517578,168.8000030517578,31721900,-0.0329,0.4588,-0.6705
2022-08-04,168.3000030517578,172.14999389648438,166.8000030517578,170.57000732421875,170.57000732421875,23938200,0.0714,0.743,-0.5267
2022-08-05,166.99000549316406,171.61000061035156,165.8000030517578,167.11000061035156,167.11000061035156,25832700,-0.0384,0.3818,-0.4939
2022-08-08,168.0,177.50999450683594,167.1300048828125,170.25,170.25,27299100,-0.1268,0.128,-0.6072
2022-08-09,168.9499969482422,169.52999877929688,166.60000610351562,168.52999877929688,168.52999877929688,18655100,-0.1025,0.4215,-0.5267
2022-08-10,175.99000549316406,180.47999572753903,173.9499969482422,178.33999633789062,178.33999633789062,30262100,0.0365,0.5267,-0.6597
2022-08-11,179.7100067138672,183.1000061035156,176.3699951171875,177.49000549316406,177.49000549316406,24079100,0.0561,0.3818,-0.4588
2022-08-12,180.80999755859372,181.4600067138672,178.91000366210938,180.5,180.5,21274000,0.0377,0.2263,0.0
2022-08-15,178.9600067138672,181.44000244140625,178.1999969482422,180.88999938964844,180.88999938964844,15878700,0.1314,0.7964,-0.6808
2022-08-16,179.44000244140625,180.9900054931641,177.0399932861328,179.47000122070312,179.47000122070312,21156700,0.1213,0.4767,-0.3182
2022-08-17,176.75999450683594,178.13999938964844,174.1699981689453,174.85000610351562,174.85000610351562,20118100,0.0026,0.4939,-0.7003
2022-08-18,174.33999633789062,175.75999450683594,171.86000061035156,174.66000366210938,174.66000366210938,18844500,0.0874,0.6597,-0.4404
2022-08-19,170.1999969482422,172.32000732421875,167.0500030517578,167.9600067138672,167.9600067138672,26240800,-0.0832,0.7579,-0.5994
2022-08-22,165.49000549316406,165.49000549316406,162.25999450683594,163.0500030517578,163.0500030517578,19499700,-0.1232,0.6369,-0.6908
2022-08-23,162.47999572753906,165.0500030517578,160.6999969482422,161.11000061035156,161.11000061035156,18111800,-0.0036,0.6249,-0.2023
2022-08-24,160.60000610351562,165.4600067138672,159.77000427246094,163.25999450683594,163.25999450683594,20891500,0.0153,0.4201,-0.7184
2022-08-25,165.17999267578125,168.8800048828125,164.02000427246094,168.77999877929688,168.77999877929688,15550500,0.2472,0.4939,-0.34
2022-08-26,168.47999572753906,170.9199981689453,161.6699981689453,161.77999877929688,161.77999877929688,24023600,0.0818,0.8176,0.0
2022-08-29,160.66000366210938,163.0500030517578,159.00999450683594,159.1699981689453,159.1699981689453,20052700,-0.0241,0.5994,-0.5267
2022-08-30,160.35000610351562,161.66000366210938,155.91000366210938,157.16000366210938,157.16000366210938,19567900,0.1209,0.6369,-0.1027
2022-08-31,167.07000732421875,167.83999633789062,162.13999938964844,162.92999267578125,162.92999267578125,40953000,0.0,0.0,0.0
2022-09-01,163.5800018310547,167.36000061035156,160.35000610351562,165.36000061035156,165.36000061035156,30145700,-0.0109,0.5267,-0.34
2022-09-02,167.4499969482422,167.92999267578125,159.22000122070312,160.32000732421875,160.32000732421875,22634200,0.022,0.4939,-0.6808
2022-09-06,160.10000610351562,161.69000244140625,157.69000244140625,158.5399932861328,158.5399932861328,19339800,0.0611,0.5267,-0.296
2022-09-07,157.75999450683594,160.9600067138672,156.80999755859375,160.38999938964844,160.38999938964844,16831200,0.0383,0.4588,-0.296
2022-09-08,158.7100067138672,162.22999572753906,157.74000549316406,162.05999755859375,162.05999755859375,22530800,-0.2343,0.0,-0.5719
2022-09-09,163.25,169.5399932861328,163.02000427246094,169.14999389648438,169.14999389648438,22086800,0.0176,0.4588,-0.6114
2022-09-12,167.38999938964844,171.38999938964844,167.27999877929688,168.9600067138672,168.9600067138672,23220400,-0.0373,0.4019,-0.5859
2022-09-13,161.5399932861328,161.6300048828125,152.6699981689453,153.1300048828125,153.1300048828125,44444100,-0.0804,0.4019,-0.4019
2022-09-14,153.3300018310547,153.5399932861328,149.0500030517578,151.47000122070312,151.47000122070312,43064200,-0.006,0.6369,-0.5267
2022-09-15,149.8000030517578,154.1999969482422,148.6999969482422,149.5500030517578,149.5500030517578,34606300,-0.1006,0.3182,-0.743
2022-09-16,148.0500030517578,148.5800018310547,144.2899932861328,146.2899932861328,146.2899932861328,40122800,0.0097,0.6705,-0.4939
2022-09-19,145.24000549316406,148.5800018310547,145.10000610351562,148.02000427246094,148.02000427246094,22169500,0.3404,0.8074,-0.2263
2022-09-20,145.77999877929688,148.83999633789062,145.22000122070312,146.08999633789062,146.08999633789062,23217400,-0.0327,0.7579,-0.5945
2022-09-21,146.38999938964844,149.60000610351562,142.0,142.1199951171875,142.1199951171875,38338600,-0.1918,0.2263,-0.5859
2022-09-22,141.5500030517578,144.5800018310547,140.8699951171875,142.82000732421875,142.82000732421875,34418500,-0.1657,0.34,-0.5423
2022-09-23,141.4199981689453,142.6199951171875,138.88999938964844,140.41000366210938,140.41000366210938,31710700,-0.1272,0.4019,-0.7579
2022-09-26,140.1199951171875,142.24000549316406,136.19000244140625,136.3699951171875,136.3699951171875,30497000,0.3918,0.6369,0.0
2022-09-27,137.9199981689453,139.4199981689453,134.1199951171875,134.39999389648438,134.39999389648438,30826500,-0.1525,0.0,-0.4019
2022-09-28,134.6199951171875,142.02999877929688,134.27000427246094,141.61000061035156,141.61000061035156,32658500,-0.2709,0.0,-0.7184
2022-09-29,139.36000061035156,139.83999633789062,135.1999969482422,136.41000366210938,136.41000366210938,38985400,-0.1094,0.0516,-0.4215
2022-09-30,136.0500030517578,140.99000549316406,135.5,135.67999267578125,135.67999267578125,33166400,-0.1129,0.743,-0.8625
2022-10-03,137.13999938964844,139.6199951171875,136.10000610351562,138.61000061035156,138.61000061035156,27723100,0.0495,0.4019,-0.1027
2022-10-04,140.49000549316406,142.38999938964844,139.33999633789062,140.27999877929688,140.27999877929688,34670700,0.1354,0.6369,-0.1027
2022-10-05,138.24000549316406,140.2100067138672,134.77999877929688,138.97999572753906,138.97999572753906,27979300,-0.1609,0.2732,-0.5994
2022-10-06,137.72000122070312,141.4499969482422,136.60000610351562,139.07000732421875,139.07000732421875,36231100,-0.0605,0.4215,-0.5267
2022-10-07,136.75999450683594,138.2899932861328,132.44000244140625,133.4499969482422,133.4499969482422,33214800,-0.2011,0.6369,-0.7003
2022-10-10,133.5500030517578,136.11000061035156,131.8699951171875,133.7899932861328,133.7899932861328,24024000,0.2278,0.8176,-0.4939
2022-10-11,131.6199951171875,132.66000366210938,126.98999786376952,128.5399932861328,128.5399932861328,38481400,0.0407,0.5256,-0.296
2022-10-12,128.32000732421875,129.6699981689453,126.25,127.5,127.5,34605200,-0.0402,0.0,-0.4019
2022-10-13,123.52999877929688,131.13999938964844,122.52999877929688,130.2899932861328,130.2899932861328,34325700,-0.173,0.0772,-0.3818
2022-10-14,131.0,131.7899932861328,126.5199966430664,126.76000213623048,126.76000213623048,23559400,-0.1434,0.0,-0.8481
2022-10-17,130.3000030517578,134.7899932861328,130.17999267578125,134.0399932861328,134.0399932861328,29612200,0.1131,0.6124,-0.4019
2022-10-18,137.08999633789062,137.83999633789062,131.39999389648438,132.8000030517578,132.8000030517578,25445000,-0.1904,0.3612,-0.6369
2022-10-19,132.88999938964844,137.0,132.22000122070312,133.22999572753906,133.22999572753906,30691000,-0.1306,0.3182,-0.8718
2022-10-20,132.92999267578125,136.77000427246094,131.30999755859375,131.52999877929688,131.52999877929688,26356300,-0.0707,0.1531,-0.34
2022-10-21,126.30999755859376,130.1199951171875,125.44000244140624,130.00999450683594,130.00999450683594,46348600,-0.1793,0.5574,-0.7096
2022-10-24,127.25,133.47999572753906,124.56999969482422,129.72000122070312,129.72000122070312,63563400,-0.0753,0.7096,-0.6908
2022-10-25,130.8800048828125,138.35000610351562,130.58999633789062,137.50999450683594,137.50999450683594,38433200,-0.0997,0.6369,-0.7506
2022-10-26,131.67999267578125,135.5500030517578,128.52999877929688,129.82000732421875,129.82000732421875,82791500,-0.0129,0.296,-0.4019
2022-10-27,97.9800033569336,102.5,96.37999725341795,97.94000244140624,97.94000244140624,232316600,-0.161,0.296,-0.6808
2022-10-28,99.58000183105467,100.8499984741211,97.51000213623048,99.1999969482422,99.1999969482422,95928300,0.0065,0.4215,-0.6249
2022-10-31,98.22000122070312,99.31999969482422,92.5999984741211,93.16000366210938,93.16000366210938,121361400,-0.1426,0.2732,-0.7003
2022-11-01,94.33000183105467,97.48999786376952,93.5500030517578,95.1999969482422,95.1999969482422,110189600,0.2232,0.6808,-0.5574
2022-11-02,94.20999908447266,95.1999969482422,90.4800033569336,90.54000091552734,90.54000091552734,71821100,0.1387,0.4404,0.0
